id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
3408,USD Coin,USDC,usd-coin,13719,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,25976213984.702778,25976213984.702778,False,,6,,,,2023-08-26T04:35:00.000Z,1.0000634482149033,2704108288.7484913,-8.0304,0.00624682,-0.00993263,-0.00183184,0.009952,-0.00585014,-0.00506862,25977862129.110054,2.4723,25977862129.11,,2023-08-26T04:35:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2023-08-26 10:08:09.599350
2010,Cardano,ADA,cardano,900,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35059048070.958,36107356400.571,False,,7,,,,2023-08-26T04:35:00.000Z,0.2598867920242166,170916995.0388601,-24.3933,-0.08410808,-0.85140399,-0.8762942,-16.7512913,-7.8871022,-30.50045082,9111383534.584074,0.8671,11694905641.09,,2023-08-26T04:35:00.000Z,,,,,,2023-08-26 10:08:09.599350
74,Dogecoin,DOGE,dogecoin,771,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain']",,140742996383.70523,140742996383.70523,True,,8,,,,2023-08-26T04:35:00.000Z,0.06314029350778465,186585825.00737727,-15.6537,-0.06633658,1.72628747,-0.9068541,-19.21556788,-3.25973997,-13.34701131,8886554100.832222,0.8456,8886554100.83,,2023-08-26T04:35:00.000Z,,,,,,2023-08-26 10:08:09.599350
5426,Solana,SOL,solana,499,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities']",,407893047.65986514,555818172.4563485,True,,9,,,,2023-08-26T04:35:00.000Z,20.36570923220796,259270441.3497428,-21.8959,-0.01459766,-1.00933562,-5.04337328,-18.82596501,23.37217527,-0.45845476,8307031206.479957,0.7906,11319631286.22,,2023-08-26T04:35:00.000Z,,,,,,2023-08-26 10:08:09.599350
1958,TRON,TRX,tron,813,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'sec-security-token', 'alleged-sec-securities']",,89376040827.95895,89376076327.57773,True,,10,71659659264.0,5538015273.496338,,2023-08-26T04:35:00.000Z,0.07728218819871638,163904323.20989472,-6.6983,0.07424099,1.21596695,5.27686849,-6.29051039,3.63506607,-0.23390508,6907176007.722483,0.6573,6907178751.21,,2023-08-26T04:35:00.000Z,,,,,,2023-08-26 10:08:09.599350
6636,Polkadot,DOT,polkadot-new,561,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1216686229.9573479,1348945587.2625277,True,,11,,,,2023-08-26T04:35:00.000Z,4.495423243520276,95626010.89554909,8.1559,-0.06704441,2.66140169,0.16949831,-15.13222426,-11.66523246,-16.46765147,5469519558.221316,0.5205,6064081347.22,,2023-08-26T04:35:00.000Z,,,,,,2023-08-26 10:08:09.599350
4943,Dai,DAI,multi-collateral-dai,2529,2019-11-22T00:00:00.000Z,"['defi', 'stablecoin', 'asset-backed-stablecoin', 'ethereum-ecosystem', 'avalanche-ecosystem', 'polygon-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'harmony-ecosystem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,5347888595.7464075,5347888595.7464075,True,,12,,,,2023-08-26T04:35:00.000Z,0.9997115205535495,68722752.26955564,-23.811,-0.02740037,0.08225552,-0.00370603,-0.0361372,-0.03087087,-0.00353846,5346345839.804627,0.5088,5346345839.8,,2023-08-26T04:35:00.000Z,1027.0,Ethereum,ETH,ethereum,0x6b175474e89094c44da98b954eedeac495271d0f,2023-08-26 10:08:09.599350
3890,Polygon,MATIC,polygon,823,2019-04-28T00:00:00.000Z,"['pos', 'platform', 'enterprise-solutions', 'zero-knowledge-proofs', 'scaling', 'state-channel', 'coinbase-ventures-portfolio', 'layer-2', 'binance-launchpad', 'binance-labs-portfolio', 'polygon-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem', 'sec-security-token', 'alleged-sec-securities']",10000000000.0,9319469069.28493,10000000000.0,False,,13,,,,2023-08-26T04:35:00.000Z,0.5466447906433012,231484861.57159868,-15.1052,-0.11408421,1.30999474,-5.32441876,-24.99568751,-16.87336699,-41.15816521,5094439218.285981,0.4848,5466447906.43,,2023-08-26T04:35:00.000Z,,,,,,2023-08-26 10:08:09.599350
11419,Toncoin,TON,toncoin,130,2021-08-26T13:40:22.000Z,"['pos', 'toncoin-ecosystem']",,3431892087.62,5047558528.0,True,,14,3414166606.0,4881561621.392027,,2023-08-26T04:35:00.000Z,1.42979596040019,28762423.02710403,1.5687,-0.17966929,1.75199138,10.81914507,4.57238096,-1.5786529,-26.0425616,4906905443.408451,0.467,7216978793.22,,2023-08-26T04:35:00.000Z,,,,,,2023-08-26 10:08:09.599350
5994,Shiba Inu,SHIB,shiba-inu,618,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589346914631298.1,589589040239379.6,False,,15,,,,2023-08-26T04:35:00.000Z,8.20157853252993e-06,124844290.81176445,-15.4005,0.24064049,1.80517606,-3.61011319,4.06325041,7.67237623,-7.47085215,4833575003.252804,0.46,4835560815.44,,2023-08-26T04:35:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2023-08-26 10:08:09.599350
